epoch,learning_rate
1,5.95e-07
2,1.0900000000000002e-06
3,1.585e-06
4,2.08e-06
5,2.575e-06
6,3.07e-06
7,3.5649999999999997e-06
8,4.06e-06
9,4.5550000000000004e-06
10,5.05e-06
11,5.545e-06
12,6.04e-06
13,6.535e-06
14,7.03e-06
15,7.525e-06
16,8.020000000000001e-06
17,8.515e-06
18,9.010000000000002e-06
19,9.505e-06
20,1e-05
21,1e-05
22,9.99618372939158e-06
23,9.984740801978984e-06
24,9.965688861926886e-06
25,9.939057285945931e-06
26,9.90488713799599e-06
27,9.863231105968498e-06
28,9.814153420445552e-06
29,9.757729755661009e-06
30,9.694047112816295e-06
31,9.623203685930867e-06
32,9.54530871043415e-06
33,9.460482294732418e-06
34,9.368855235010345e-06
35,9.270568813552755e-06
36,9.1657745808976e-06
37,9.05463412215599e-06
38,8.937318807859687e-06
39,8.814009529720153e-06
40,8.684896421706643e-06
41,8.55017856687341e-06
42,8.410063690388063e-06
43,8.26476783923441e-06
44,8.114515049083678e-06
45,7.959536998847742e-06
46,7.800072653447032e-06
47,7.636367895343947e-06
48,7.4686751454099285e-06
49,7.297252973710757e-06
50,7.12236570081027e-06
51,6.944282990207195e-06
52,6.763279432533591e-06
53,6.579634122155991e-06
54,6.393630226832119e-06
55,6.205554551086733e-06
56,6.015697093979836e-06
57,5.824350601949144e-06
58,5.631810117416297e-06
59,5.438372523852833e-06
60,5.24433608800739e-06
61,5.05e-06
62,4.855663911992612e-06
63,4.661627476147168e-06
64,4.468189882583704e-06
65,4.2756493980508584e-06
66,4.0843029060201655e-06
67,3.894445448913269e-06
68,3.706369773167882e-06
69,3.520365877844011e-06
70,3.3367205674664114e-06
71,3.155717009792806e-06
72,2.977634299189733e-06
73,2.8027470262892444e-06
74,2.631324854590073e-06
75,2.463632104656054e-06
76,2.2999273465529695e-06
77,2.1404630011522593e-06
78,1.9854849509163238e-06
79,1.8352321607655924e-06
80,1.6899363096119402e-06
81,1.5498214331265909e-06
82,1.4151035782933566e-06
83,1.2859904702798474e-06
84,1.1626811921403126e-06
85,1.0453658778440111e-06
86,9.342254191024026e-07
87,8.29431186447244e-07
88,7.311447649896553e-07
89,6.395177052675797e-07
90,5.546912895658475e-07
91,4.767963140691308e-07
92,4.0595288718370355e-07
93,3.422702443389901e-07
94,2.8584657955444655e-07
