epoch,learning_rate
1,1.01e-06
2,2.01e-06
3,3.01e-06
4,4.01e-06
5,5.01e-06
6,6e-06
7,7e-06
8,8e-06
9,9e-06
10,1e-05
11,1e-05
12,9.98e-06
13,9.94e-06
14,9.86e-06
15,9.76e-06
16,9.62e-06
17,9.46e-06
18,9.26e-06
19,9.05e-06
20,8.8e-06
21,8.54e-06
22,8.25e-06
23,7.94e-06
24,7.61e-06
25,7.27e-06
26,6.92e-06
27,6.55e-06
28,6.17e-06
29,5.79e-06
30,5.4e-06
31,5e-06
32,4.61e-06
33,4.22e-06
34,3.84e-06
35,3.46e-06
36,3.09e-06
37,2.74e-06
38,2.4e-06
39,2.07e-06
40,1.76e-06
41,1.47e-06
42,1.21e-06
43,9.64e-07
44,7.46e-07
45,5.54e-07
46,3.9e-07
47,2.54e-07
48,1.48e-07
49,7.15e-08
50,2.54e-08
