exp_id,模型,实验组,阶段,数据池,输入,划分,random_state,准确率,宏平均F1,n_test,指标文件,模型目录,状态,权重文件_MB,参数量_M,计划epoch,实际epoch,最佳epoch,训练墙钟_小时,训练备注,推理_秒,特征提取_秒,总耗时_秒,每万样本_秒,峰值显存_MB,权重_MB,推理测速备注
xgb_1117,XGBoost 1117,手工特征,3-30变长,varlen,train2 手工特征,75/10/15,42,0.9133862544715258,0.9231366874262941,,/root/shared-nvme/train_models/xgboost_full/results/test_metrics.json,/root/shared-nvme/train_models/xgboost_full,OK,489.76,122.4,,,,663.46,Optuna 超参搜索（见 best_params.txt）,,,,,,,
xgb_1121,XGBoost 1121,手工特征,3-30变长,1121,train2_1121 手工特征,75/10/15,42,0.9214059020260571,0.9298852131191399,257742.0,/root/shared-nvme/train_models/xgboost_reduced/results/test_metrics.json,/root/shared-nvme/train_models/xgboost_reduced,OK,407.93,102.0,,,,27.15,Optuna 超参搜索（见 best_params.txt）,,,,,,,
tf_feat_50obs,Transformer 特征 50obs,手工特征,50点预训练,50obs,"train4 手工特征, ~250M",75/10/15,42,0.9892,0.9906,244938.0,/root/shared-nvme/train_models/transformer_feat_50obs_pretrain/results/metrics.txt,/root/shared-nvme/train_models/transformer_feat_50obs_pretrain,OK,867.74,227.45,100.0,,,11.26,,,,,,,,
tf_feat_finetune,Transformer 特征 3-30微调,手工特征,3-30微调,varlen,"train2 手工特征, ~250M",75/10/15,42,0.8224,0.833,257742.0,/root/shared-nvme/train_models/transformer_feat_varlen_finetune/results/metrics.txt,/root/shared-nvme/train_models/transformer_feat_varlen_finetune,OK,867.74,216.9,50.0,,,,,7.6148,994.0764,1001.6913,38.8641,1743.44,867.74,
tf_feat_scratch,Transformer 特征 3-30从头,手工特征,3-30从头,varlen,"train2 手工特征, ~250M, 无50obs预训练",75/10/15,42,0.8799,0.8885,257742.0,/root/shared-nvme/train_models/transformer_feat_varlen_scratch/results/metrics.txt,/root/shared-nvme/train_models/transformer_feat_varlen_scratch,OK,867.74,227.45,100.0,,,12.55,,7.6015,994.0764,1001.6779,38.8636,1743.44,867.74,
e2e_tf_small_50,E2E Transformer 轻量 50obs,E2E轻量,50点预训练,50obs,"原始时序 (3,50), ~11M",75/10/15,42,0.9797377295478856,0.9820961714716547,,/root/shared-nvme/train_models/e2e_transformer_50obs_pretrain/results/test_metrics.json,/root/shared-nvme/train_models/e2e_transformer_50obs_pretrain,OK,40.73,10.2,,,,308.38,,,,,,,,
e2e_tf_small_ft,E2E Transformer 轻量 3-30微调,E2E轻量,3-30微调,varlen,"原始时序 3-30, ~11M",75/10/15,42,0.7638180816475391,0.7920904429725114,,/root/shared-nvme/train_models/e2e_transformer_varlen_finetune/results/test_metrics.json,/root/shared-nvme/train_models/e2e_transformer_varlen_finetune,OK,40.73,10.2,,,,,,18.147,0.0,18.147,0.7041,220.3,40.73,
e2e_tf_matched_50,E2E Transformer 同量级 50obs,E2E同量级,50点预训练,50obs,"原始时序 (3,50), ~227M",75/10/15,42,0.9986486376144167,0.9987415350081302,,/root/shared-nvme/train_models/e2e_transformer_50obs_matched_pretrain/results/test_metrics.json,/root/shared-nvme/train_models/e2e_transformer_50obs_matched_pretrain,OK,867.72,216.9,,,89.0,76.94,,,,,,,,
e2e_tf_matched_ft,E2E Transformer 同量级 3-30微调,E2E同量级,3-30微调,varlen,"原始时序 3-30, ~227M",75/10/15,42,0.9457558333527326,0.9496603984200387,,/root/shared-nvme/train_models/e2e_transformer_varlen_matched_finetune/results/test_metrics.json,/root/shared-nvme/train_models/e2e_transformer_varlen_matched_finetune,OK,867.72,216.9,,,47.0,,,74.5216,0.0,74.5216,2.8913,1053.48,867.72,
e2e_tf_matched_scratch,E2E Transformer 同量级 3-30从头,E2E同量级,3-30从头,varlen,"原始时序 3-30, ~227M, 无50obs预训练",75/10/15,42,0.5128112608732763,0.5521827084964948,,/root/shared-nvme/train_models/e2e_transformer_varlen_matched_scratch/results/test_metrics.json,/root/shared-nvme/train_models/e2e_transformer_varlen_matched_scratch,OK,867.72,216.9,,,9.0,10.97,,74.2729,0.0,74.2729,2.8817,1053.48,867.72,
rnn_e2e_varlen,RNN LSTM E2E,RNN,3-30端到端,varlen,"原始时序 3-30, ~0.2M",75/10/15,42,0.8467032924397265,0.8638975990115191,,/root/shared-nvme/train_models/lstm_varlen/results/test_metrics.json,/root/shared-nvme/train_models/lstm_varlen,OK,0.77,0.2,,,98.0,296.32,,17.5,0.0,17.5,0.679,24.37,0.77,
