exp_id,模型,实验组,阶段,宏平均F1,权重文件_MB,参数量_M,计划epoch,实际epoch,最佳epoch,训练墙钟_小时,训练备注,每万样本_秒,峰值显存_MB,推理测速备注
e2e_tf_matched_50,E2E Transformer 同量级 50obs,E2E同量级,50点预训练,0.9987415350081302,867.72,216.9,,,89.0,76.94,,,,
tf_feat_50obs,Transformer 特征 50obs,手工特征,50点预训练,0.9906,867.74,227.45,100.0,,,11.26,,,,
e2e_tf_small_50,E2E Transformer 轻量 50obs,E2E轻量,50点预训练,0.9820961714716547,40.73,10.2,,,,308.38,,,,
e2e_tf_matched_ft,E2E Transformer 同量级 3-30微调,E2E同量级,3-30微调,0.9496603984200387,867.72,216.9,,,47.0,,,2.8913,1053.48,
xgb_1121,XGBoost 1121,手工特征,3-30变长,0.9298852131191399,407.93,102.0,,,,27.15,Optuna 超参搜索（见 best_params.txt）,,,
xgb_1117,XGBoost 1117,手工特征,3-30变长,0.9231366874262941,489.76,122.4,,,,663.46,Optuna 超参搜索（见 best_params.txt）,,,
tf_feat_scratch,Transformer 特征 3-30从头,手工特征,3-30从头,0.8885,867.74,227.45,100.0,,,12.55,,38.8636,1743.44,
rnn_e2e_varlen,RNN LSTM E2E,RNN,3-30端到端,0.8638975990115191,0.77,0.2,,,98.0,296.32,,0.679,24.37,
tf_feat_finetune,Transformer 特征 3-30微调,手工特征,3-30微调,0.833,867.74,216.9,50.0,,,,,38.8641,1743.44,
e2e_tf_small_ft,E2E Transformer 轻量 3-30微调,E2E轻量,3-30微调,0.7920904429725114,40.73,10.2,,,,,,0.7041,220.3,
e2e_tf_matched_scratch,E2E Transformer 同量级 3-30从头,E2E同量级,3-30从头,0.5521827084964948,867.72,216.9,,,9.0,10.97,,2.8817,1053.48,
