epoch,learning_rate
1,1.0900000000000001e-07
2,2.0800000000000004e-07
3,3.0700000000000004e-07
4,4.0600000000000006e-07
5,5.05e-07
6,6.040000000000001e-07
7,7.03e-07
8,8.020000000000001e-07
9,9.01e-07
10,1e-06
11,9.984740801978983e-07
12,9.939057285945931e-07
13,9.863231105968499e-07
14,9.75772975566101e-07
15,9.62320368593087e-07
16,9.460482294732421e-07
17,9.270568813552757e-07
18,9.054634122155991e-07
19,8.814009529720154e-07
20,8.55017856687341e-07
21,8.26476783923441e-07
22,7.959536998847742e-07
23,7.636367895343947e-07
24,7.297252973710757e-07
25,6.944282990207195e-07
26,6.57963412215599e-07
27,6.205554551086733e-07
28,5.824350601949144e-07
29,5.438372523852833e-07
30,5.05e-07
31,4.6616274761471685e-07
32,4.275649398050859e-07
33,3.894445448913269e-07
34,3.520365877844011e-07
35,3.155717009792806e-07
36,2.8027470262892436e-07
37,2.463632104656053e-07
38,2.1404630011522582e-07
39,1.8352321607655914e-07
40,1.54982143312659e-07
41,1.2859904702798466e-07
42,1.0453658778440103e-07
43,8.294311864472434e-08
44,6.395177052675792e-08
45,4.767963140691305e-08
46,3.4227024433898994e-08
47,2.36768894031501e-08
48,1.6094271405406858e-08
49,1.1525919802101659e-08
50,1e-08
