epoch,learning_rate
1,5.95e-07
2,1.0900000000000002e-06
3,1.585e-06
4,2.08e-06
5,2.575e-06
6,3.07e-06
7,3.5649999999999997e-06
8,4.06e-06
9,4.5550000000000004e-06
10,5.05e-06
11,5.545e-06
12,6.04e-06
13,6.535e-06
14,7.03e-06
15,7.525e-06
16,8.020000000000001e-06
17,8.515e-06
18,9.010000000000002e-06
19,9.505e-06
20,1e-05
21,1e-05
22,1e-05
23,1e-05
24,1e-05
25,1e-05
26,1e-05
27,1e-05
28,1e-05
29,1e-05
30,1e-05
31,1e-05
32,1e-05
33,1e-05
34,1e-05
35,1e-05
36,1e-05
37,1e-05
38,1e-05
39,1e-05
40,1e-05
41,1e-05
42,1e-05
43,1e-05
44,1e-05
45,1e-05
46,1e-05
47,1e-05
48,1e-05
49,1e-05
50,1e-05
51,1e-05
52,1e-05
53,1e-05
54,1e-05
55,1e-05
56,1e-05
57,1e-05
58,1e-05
59,1e-05
60,1e-05
61,1e-05
62,1e-05
63,1e-05
64,1e-05
65,1e-05
66,1e-05
67,1e-05
68,1e-05
69,1e-05
70,1e-05
71,1e-05
72,1e-05
73,1e-05
74,1e-05
75,1e-05
76,1e-05
77,1e-05
