feature,importance
ndethist,0.34384665
w_std_mag,0.09823955
excess_variance,0.09468925
is_periodic,0.034583654
ls_dominant_period,0.028977381
std_mag,0.02817653
chi2_dof,0.023403428
ls_peak_width,0.021098655
autocorr_lag1,0.018871311
skewness,0.014845666
ls_fap,0.014307227
num_points,0.014171104
max_mag,0.0127929915
min_mag,0.011670149
percent_amplitude,0.011532418
max_gap,0.011519612
q90_minus_q10,0.011284216
q10,0.011071947
ls_max_power,0.011026683
ls_significant_peaks,0.010535709
iqr_mag,0.0100254975
q90,0.009845324
amplitude_ratio,0.009056835
median_mag,0.007914076
w_mean_mag,0.0079139955
ls_entropy,0.007888926
gap_median,0.007743467
zero_crossings,0.007448192
density,0.007108546
mean_mag,0.0070375316
gap_std,0.0069761313
time_span,0.0066720545
beyond2std,0.0063344673
ls_power_to_median,0.005818246
ls_power_variance,0.0056519047
ls_median_power,0.004975319
frac_rising,0.0047622095
gini_mag,0.0047378726
stetson_j,0.0047106473
q_shape_ratio,0.004705136
median_snr,0.0044228397
con_down_max_norm,0.0043360125
con_up_max_norm,0.004205523
mag_change_rate,0.004186708
kurtosis,0.004077248
mad_mag,0.0038198887
ls_harmonic_ratio,0.0037889308
beyond1std,0.0036258204
kurtosis_is_missing,0.003276097
ls_entropy_is_missing,0.0002903882
ls_max_power_is_missing,0.0
skewness_is_missing,0.0
ls_median_power_is_missing,0.0
fraction_upper_limits,0.0
ls_power_variance_is_missing,0.0
ls_fap_is_missing,0.0
