num_points,accuracy,count
3,0.5907082030828932,9277
4,0.6457524795170332,9276
5,0.7115655090338635,9243
6,0.7568211346903422,9236
7,0.78889979282521,9171
8,0.8357307565608872,9107
9,0.8683896188511239,9209
10,0.8948266666666667,9375
11,0.9142300194931774,9234
12,0.9316910499139415,9296
13,0.9492363949236395,9298
14,0.9593903102885138,9185
15,0.9641569227406841,9151
16,0.972568578553616,9223
17,0.975682276733567,9417
18,0.9805636540330418,9261
19,0.9821467930350452,9074
20,0.9836569046835582,9117
21,0.9852103418054339,9128
22,0.9883442265795207,9180
23,0.9881954311946661,9149
24,0.9890780597494379,9339
25,0.989351298489623,9203
26,0.9920415607383664,9047
27,0.9903481184253334,9221
28,0.9888010540184453,9108
29,0.9859015310056174,9079
30,0.9797548697745677,9138
