feature,importance
ndethist,0.32435456
excess_variance,0.12584291
w_std_mag,0.10327458
std_mag,0.055436052
autocorr_lag1,0.02631939
chi2_dof,0.025029115
skewness,0.01969654
max_mag,0.017201852
max_gap,0.016942846
min_mag,0.01618646
percent_amplitude,0.015695522
w_mean_mag,0.014805187
q10,0.014139099
q90_minus_q10,0.013402152
amplitude_ratio,0.0132356165
time_span,0.013154166
q90,0.01180199
num_points,0.011758355
median_mag,0.011591356
gap_median,0.011504499
mean_mag,0.011441357
iqr_mag,0.01143505
density,0.010964581
gap_std,0.010321552
median_snr,0.009787598
zero_crossings,0.009678013
beyond2std,0.009043658
gini_mag,0.0074859494
q_shape_ratio,0.0073294924
kurtosis,0.007192321
frac_rising,0.0071151764
con_down_max_norm,0.0066616605
stetson_j,0.006498978
con_up_max_norm,0.0062357294
mad_mag,0.0061321333
mag_change_rate,0.005986604
beyond1std,0.005317938
fraction_upper_limits,0.0
