source_name,tns_url,discovery_time_utc,h3_age_q16_days,h3_age_q50_days,h3_age_q84_days,selection_tier,q50_within_2d,conservative_q84_within_2d,model_confidence_label,model_token_count,host_redshift,reporting_group,data_source,prediction_generated_utc,model_id,input_mode_record,prediction_warning,scope_note_cn
AT 2026yzg,https://www.wis-tns.org/object/2026yzg,2026-08-15T17:17:23Z,1.052041,1.913805,2.775569,q50_within_2d_only,true,false,LOW,3,0.015918,ATLAS,TNS,2026-08-16T04:10:40.958604Z,h3_canonical,tns_plus_forced_nightly,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026ywa,https://www.wis-tns.org/object/2026ywa,2026-08-13T21:49:07Z,0.837958,1.699722,2.561486,q50_within_2d_only,true,false,LOW,2,0.018923,ATLAS,TNS,2026-08-16T04:10:40.958604Z,h3_canonical,tns_plus_forced_nightly,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026yvy,https://www.wis-tns.org/object/2026yvy,2026-08-13T19:04:33Z,0.523136,1.3849,2.246664,q50_within_2d_only,true,false,LOW,3,0.01519384,,TNS,2026-08-16T04:10:40.958604Z,h3_canonical,tns_plus_forced_nightly,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026ywi,https://www.wis-tns.org/object/2026ywi,2026-08-13T06:29:18Z,0.159136,1.0209,1.882664,strict_q84_within_2d,true,true,MEDIUM,4,0.004,ATLAS,TNS,2026-08-16T04:10:40.958604Z,h3_canonical,tns_plus_forced_nightly,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026yly,https://www.wis-tns.org/object/2026yly,2026-08-09T19:16:43Z,0.160809,1.254057,2.347306,q50_within_2d_only,true,false,LOW,3,0.00492341,,TNS,2026-08-11T11:30:56.361045Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026yjv,https://www.wis-tns.org/object/2026yjv,2026-08-09T02:36:26Z,1.026373,1.888137,2.749901,q50_within_2d_only,true,false,MEDIUM,4,0.013756,"GOTO, ATLAS",TNS,2026-08-09T17:23:39.627770Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
SN 2026yid,https://www.wis-tns.org/object/2026yid,2026-08-07T22:22:28Z,1.06163,1.923394,2.785158,q50_within_2d_only,true,false,LOW,3,0.01596,ATLAS,TNS,2026-08-09T07:29:44.706602Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026yfw,https://www.wis-tns.org/object/2026yfw,2026-08-06T17:44:28Z,0.691751,1.553515,2.415279,q50_within_2d_only,true,false,LOW,3,0.009787,ATLAS,TNS,2026-08-08T07:44:24.638403Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
SN 2026xrg,https://www.wis-tns.org/object/2026xrg,2026-08-06T17:19:33Z,0.759415,1.621179,2.482943,q50_within_2d_only,true,false,LOW,3,0.0171,"GOTO, ZTF",TNS,2026-08-09T07:32:01.911348Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026wgm,https://www.wis-tns.org/object/2026wgm,2026-07-27T09:06:31Z,0.807051,1.668815,2.530579,q50_within_2d_only,true,false,MEDIUM,4,0.00953,GOTO,TNS,2026-07-29T02:19:11.442502Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026wfv,https://www.wis-tns.org/object/2026wfv,2026-07-26T03:50:32Z,0.756994,1.618758,2.480522,q50_within_2d_only,true,false,LOW,1,0.019857,"ATLAS, GOTO",TNS,2026-07-27T04:35:38.556755Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026wex,https://www.wis-tns.org/object/2026wex,2026-07-25T03:38:19Z,0.928886,1.79065,2.652414,q50_within_2d_only,true,false,LOW,2,0.017335,ATLAS,TNS,2026-07-27T19:02:35.576663Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026vme,https://www.wis-tns.org/object/2026vme,2026-07-20T17:46:47Z,0.413949,1.275713,2.137477,q50_within_2d_only,true,false,LOW,3,0.019977,GOTO,TNS,2026-07-23T06:17:34.533029Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026vba,https://www.wis-tns.org/object/2026vba,2026-07-17T17:54:18Z,0.915829,1.777593,2.639357,q50_within_2d_only,true,false,LOW,2,0.019857,ATLAS,TNS,2026-07-19T16:00:37.019015Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
SN 2026vbh,https://www.wis-tns.org/object/2026vbh,2026-07-17T14:18:06Z,0.93406,1.795824,2.657588,q50_within_2d_only,true,false,LOW,2,0.01834,ATLAS,TNS,2026-07-19T21:05:34.904297Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026uxt,https://www.wis-tns.org/object/2026uxt,2026-07-15T23:30:00Z,0.128259,0.990023,1.851787,strict_q84_within_2d,true,true,LOW,2,0.00331,,TNS,2026-07-17T00:08:06.368544Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026uxx,https://www.wis-tns.org/object/2026uxx,2026-07-15T04:02:28Z,1.101232,1.962996,2.82476,q50_within_2d_only,true,false,MEDIUM,6,0.010404,ATLAS,TNS,2026-07-17T00:07:59.116240Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026twu,https://www.wis-tns.org/object/2026twu,2026-07-12T00:50:41Z,0.560682,1.422446,2.28421,q50_within_2d_only,true,false,MEDIUM,4,0.01967361,LAST,TNS,2026-07-14T13:56:37.969726Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
SN 2026sqf,https://www.wis-tns.org/object/2026sqf,2026-07-08T06:01:09Z,0.585253,1.447017,2.308781,q50_within_2d_only,true,false,LOW,3,0.00329895,ZTF,TNS,2026-07-09T00:01:47.131342Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026sqg,https://www.wis-tns.org/object/2026sqg,2026-07-06T22:56:53Z,0.698818,1.560582,2.422346,q50_within_2d_only,true,false,LOW,3,0.010044,ATLAS,TNS,2026-07-09T00:04:33.491208Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026rop,https://www.wis-tns.org/object/2026rop,2026-07-03T11:28:35Z,0.760906,1.62267,2.484434,q50_within_2d_only,true,false,LOW,1,0.016128,ZTF,TNS,2026-07-05T21:53:28.347109Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
AT 2026rfb,https://www.wis-tns.org/object/2026rfb,2026-07-02T06:17:52Z,0.528134,1.389898,2.251662,q50_within_2d_only,true,false,LOW,3,0.00625643,ATLAS,TNS,2026-07-04T04:22:32.304291Z,h3_canonical,not_persisted_in_historical_snapshot,H3 interval is fold-dispersion based; canonical H3 is a point-estimate ensemble.,半年筛选窗口为2026-02-16至2026-08-16；生产预测资产实际覆盖发现日期2026-06-24至2026-08-15，不代表半年全量TNS源。
